lambda_um,n,k
16.819095477386938,2.177949554060509,0.007696544893067197
16.92964824120603,2.177947239884104,0.007710634800598864
17.040201005025125,2.177944970612621,0.00772455415609571
17.150753768844222,2.177942745091672,0.007738306021881315
17.26130653266332,2.17794056220373,0.007751893387828439
17.371859296482413,2.177938420866724,0.007765319173474621
17.482412060301506,2.177936320032699,0.007778586230064657
17.592964824120603,2.1779342586865322,0.0077916973425228575
17.7035175879397,2.177932235844708,0.007804655231357878
17.814070351758794,2.177930250554141,0.007817462554502757
17.92462311557789,2.1779283018910554,0.007830121909092703
18.035175879396988,2.177926388959911,0.007842635833183047
18.14572864321608,2.177924510892371,0.00785500680740968
18.256281407035175,2.1779226668463183,0.007867237256594196
18.366834170854272,2.1779208560049104,0.007879329551295847
18.47738693467337,2.177919077575675,0.007891286009312347
18.587939698492463,2.177917330789642,0.007903108897131474
18.69849246231156,2.1779156149005114,0.007914800431335302
18.809045226130657,2.177913929183859,0.007926362779958871
18.91959798994975,2.1779122729363674,0.007937798063804983
19.030150753768844,2.1779106454750945,0.007949108357716757
19.14070351758794,2.1779090461367696,0.007960295691809501
19.251256281407038,2.177907474277115,0.007971362052663427
19.36180904522613,2.177905929270201,0.007982309384478603
19.47236180904523,2.1779044105078182,0.007993139590193548
19.582914572864322,2.1779029173988804,0.008003854532568792
19.69346733668342,2.177901449368851,0.008014456035236636
19.804020100502512,2.1779000058591875,0.008024945883718366
19.91457286432161,2.1778985863268123,0.008035325826410065
20.025125628140703,2.1778971902435997,0.008045597575538129
20.1356783919598,2.177895817095886,0.008055762808085601
20.246231155778897,2.1778944663839965,0.008065823166690292
20.35678391959799,2.1778931376217905,0.008075780260515749
20.467336683417088,2.1778918303362245,0.00808563566609596
20.57788944723618,2.1778905440669294,0.008095390928154738
20.68844221105528,2.1778892783658073,0.008105047560400666
20.798994974874372,2.177888032796639,0.008114607046298416
20.90954773869347,2.1778868069347106,0.008124070839817277
21.020100502512562,2.1778856003664493,0.008133440366157683
21.13065326633166,2.177884412689073,0.008142717022456421
21.241206030150757,2.177883243510259,0.00815190217847135
21.35175879396985,2.177882092447815,0.008160997177246197
21.462311557788947,2.17788095912937,0.008170003335756204
21.57286432160804,2.177879843192071,0.008178921945535203
21.683417085427138,2.1778787442822933,0.008187754273284737
21.79396984924623,2.17787766205536,0.008196501561465869
21.90452261306533,2.1778765961752726,0.008205165028874186
22.015075376884422,2.1778755463144486,0.0082137458711986
22.12562814070352,2.177874512153471,0.008222245261564431
22.236180904522616,2.177873493380845,0.008230664351061318
22.34673366834171,2.1778724896927626,0.008239004269256443
22.457286432160807,2.1778715007928775,0.008247266124693514
22.5678391959799,2.1778705263920846,0.008255451005377985
22.678391959798997,2.1778695662083103,0.008263559979248958
22.78894472361809,2.1778686199663064,0.008271594094638176
22.899497487437188,2.177867687397456,0.008279554380716519
23.01005025125628,2.1778667682395785,0.008287441847928394
23.12060301507538,2.177865862236749,0.00829525748841442
23.231155778894475,2.1778649691391174,0.00830300227642272
23.34170854271357,2.1778640887027385,0.00831067716870925
23.452261306532666,2.1778632206894044,0.008318283104927444
23.56281407035176,2.177862364866482,0.008325821008007515
23.673366834170857,2.177861521006759,0.008333291784525763
23.78391959798995,2.1778606888882925,0.008340696325064153
23.894472361809047,2.177859868294262,0.008348035504560479
24.00502512562814,2.17785905901283,0.008355310182649409
24.115577889447238,2.177858260837004,0.008362521203994668
24.22613065326633,2.177857473564504,0.008369669398612627
24.33668341708543,2.177856696997635,0.008376755582187565
24.447236180904525,2.1778559309431627,0.008383780556378858
24.55778894472362,2.1778551752121924,0.008390745109120303
24.668341708542716,2.1778544296200546,0.008397650014911853
24.77889447236181,2.177853693986189,0.008404496035103943
24.889447236180906,2.1778529681340393,0.008411283918174675
25.0,2.1778522518909424,0.0084180144
